Name,Emissions Factor Data Source,Hotel Stay Emissions (kg CO2e/Night),Emissions Factor Update Year
Name,EmissionFactorDataSource,HotelStayEmssnInKgCo2eNight,EmissionFactorUpdateYear
Philippines - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",44.2,2021
Poland - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",33.2,2021
Portugal - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",26,2021
Qatar - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",126.8,2021
Romania - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",25.5,2021
Russian Federation - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",31.8,2021
Saudi Arabia - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",114.5,2021
Singapore - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",37.8,2021
Slovak Republic - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",19.1,2021
South Africa - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",61,2021
Spain - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",18.7,2021
Switzerland - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",7.4,2021
"Taiwan, China - DEFRA 2021","DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",77.3,2021
Thailand - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",51,2021
Turkey - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",33.6,2021
United Arab Emirates - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",114.4,2021
United Kingdom - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",13.9,2021
United States - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",19.7,2021
Vietnam - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",51.8,2021
Global Average - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",44.97115385,
